med_id;pro_id;tym_id;media_libelle;media_ressource
123;123;1;mej22-ensemble-jupe-patineur;mej22-ensemble-jupe-patineur.jpg
124;124;1;mej15-ensemble-jupe-jaune;mej15-ensemble-jupe-jaune.jpg
125;125;1;ga6b-academique-blanc-troue;ga6b-academique-blanc-troue.jpg
126;126;1;mej8-ensemble-jupe-bleu-et-jaune;mej8-ensemble-jupe-bleu-et-jaune.jpg
127;127;1;mej7-ensemble-moyen-ige-esmeralda;mej7-ensemble-moyen-ige-esmeralda.jpg
128;128;1;gc5f-cote-tribale-une-jambe-noire;gc5f-cote-tribale-une-jambe-noire.jpg
129;129;1;gc9-cote-noire-a-jupe;gc9-cote-noire-a-jupe.jpg
130;130;1;ga6c-academique-turquoise-troue;ga6c-academique-turquoise-troue.jpg
131;131;1;ga10-academique-noir-ponctuation;ga10-academique-noir-ponctuation.jpg
132;132;1;ga9-academique-or;ga9-academique-or.jpg
133;133;1;gc3-cote-noire-en-lycra-flash;gc3-cote-noire-en-lycra-flash.jpg
134;134;1;gc2-cote-rouge-et-noire;gc2-cote-rouge-et-noire.jpg
135;135;1;mej24-ensemble-jupette-mousseline-framboise;mej24-ensemble-jupette-mousseline-framboise.jpg
136;136;1;mej1-ensemble-princesse-rose;mej1-ensemble-princesse-rose.jpg
137;137;1;mej3-ensemble-jupe-cercle-avec-haut-jaune;mej3-ensemble-jupe-cercle-avec-haut-jaune.jpg
138;138;1;pep20-costume-pour-enfant;pep20-costume-pour-enfant.jpg
139;139;1;pep2-ensemble-pantalon-avec-haut-bleu-royal;pep2-ensemble-pantalon-avec-haut-bleu-royal.jpg
140;140;1;pep3-ensemble-pantalon-noir;pep3-ensemble-pantalon-noir.jpg
141;141;1;mep10-costume-poinconneur-des-lilas;mep10-costume-poinconneur-des-lilas.jpg
142;142;1;pep8-ensemble-pantalon-chinois;pep8-ensemble-pantalon-chinois.jpg
143;143;1;mep16c-ensemble-pantalon-gris-avec-haut-fuschia;mep16c-ensemble-pantalon-gris-avec-haut-fuschia.jpg
144;144;1;mep16b-ensemble-pantalon-noir-marcel-bleu;mep16b-ensemble-pantalon-noir-marcel-bleu.jpg
145;145;1;pep18-ensemble-toreador;pep18-ensemble-toreador.jpg
146;146;1;pep1-ensemble-pantalon-argent;pep1-ensemble-pantalon-argent.jpg
147;147;1;mep16a-ensemble-pantalon-homme-gris;mep16a-ensemble-pantalon-homme-gris.jpg
148;148;1;mep15-ensemble-pantalon-homme-taupe;mep15-ensemble-pantalon-homme-taupe.jpg
149;149;1;pep21-ensemble-sarouel-violet-avec-voile-orange;pep21-ensemble-sarouel-violet-avec-voile-orange.jpg
150;150;1;mep11-ensemble-pantalon-cuisinier;mep11-ensemble-pantalon-cuisinier.jpg
151;151;1;mep13-ensemble-pantalon-matelot;mep13-ensemble-pantalon-matelot.jpg
152;152;1;pep23-ensemble-pantalon-blanc;pep23-ensemble-pantalon-blanc.jpg
153;153;1;pep7-costume-de-spirou;pep7-costume-de-spirou.jpg
154;154;1;mep12-ensemble-pantalon-chinois-garcon;mep12-ensemble-pantalon-chinois-garcon.jpg
155;155;1;mep2-pantalon-chinois-avec-haut;mep2-pantalon-chinois-avec-haut.jpg
156;156;1;pep19-ensemble-pierrot;pep19-ensemble-pierrot.jpg
157;157;1;mep5-costume-d-homme-espagnol;mep5-costume-d-homme-espagnol.jpg
158;158;1;pep22-ensemble-pantalon-jaune-or-et-blanc;pep22-ensemble-pantalon-jaune-or-et-blanc.jpg
159;159;1;mep17-costume-de-loup;mep17-costume-de-loup.jpg
160;160;1;pep17e-ensemble-oriental-vert;pep17e-ensemble-oriental-vert.jpg
161;161;1;mep1-ensemble-pantalon-asie;mep1-ensemble-pantalon-asie.jpg
162;162;1;gep14c-ensemble-oriental-rouge-a-pieces;gep14c-ensemble-oriental-rouge-a-pieces.jpg
163;163;1;mep7-costume-renaissance;mep7-costume-renaissance.jpg
164;164;1;gep1b-costume-de-bouffon;gep1b-costume-de-bouffon.jpg
165;165;1;mep9bis-costume-enfant;mep9bis-costume-enfant.jpg
166;166;1;mep29-ensemble-pierrot-lune;mep29-ensemble-pierrot-lune.jpg
167;167;1;ge2b-ensemble-pantalon-chair;ge2b-ensemble-pantalon-chair.jpg
168;168;1;gep22-ensemble-pantalon-camaieu-de-rose;gep22-ensemble-pantalon-camaieu-de-rose.jpg
169;169;1;gep21-ensemble-pantalon-camaieu-de-bleu;gep21-ensemble-pantalon-camaieu-de-bleu.jpg
170;170;1;mep3-ensemble-peach-blanc;mep3-ensemble-peach-blanc.jpg
171;171;1;gep20-ensemble-pantalon-chocolat;gep20-ensemble-pantalon-chocolat.jpg
