1;1;1;Collection of costumes from the Afrik'art premises; The customer will pick up the package from the Afrik'art premises.;21.jpg;0,00;0,00;2023-01-01;0000-00-00;1;0;
2;2;2;Everything in delivery; Everything will be delivered to the customer's premises;;10,83;13,10;2023-01-01;0000-00-00;1;1;
